domain,raw_count,processed_count
1000degreespizza.com,40,40
1000DegreesPizza.com,39,39
10fitness.com,13,13
16handles.com,30,30
1800flowers.com,117,117
1800packrat.com,62,62
1stcb.com,327,327
21stcenturyenergygroup.com,8,8
24-7stores.com,10,10
24hourfitness.com,443,443
2ndandcharles.com,40,40
2ndwindexercise.com,88,88
32yogurt.com,9,9
365bywholefoods.com,12,12
3forks.com,7,7
411west.com,1,1
4sonsstores.com,20,20
4wheelparts.com,86,86
511tactical.com,54,54
53.com,1207,1207
54thstreetgrill.com,17,17
5napkinburger.com,4,4
5starrentalpurchase.com,3,3
76.com,1989,1989
7-eleven.com,7918,7918
7elevenhawaii.com,65,65
7forallmankind.com,47,47
800degrees.com,9,9
800degreespizza.com,8,8
84lumber.com,238,238
85cafe.us,62,62
99only.com,364,364
99ranch.com,52,52
99restaurants.com,107,107
9round.com,627,627
a1mri.com,13,13
a1storage.com,46,46
aaa.com,8,8
aaa.com,705,705
aaa.com,1235,1235
aaa.com/autorepair,5959,15
aaffordableauto.com,77,77
aamco.com,597,597
aarons.com,1566,1566
abbeycarpet.com,248,80
abbottscustard.com,38,38
abbys.com,36,36
abcfws.com,120,120
abcstores.com,75,75
abcsupply.com,567,567
abc-usa.org,5019,5019
abcwarehouse.com,43,43
abeandlouies.com,2,2
abeloil.com,18,18
abercrombie.com,253,253
abm.com,195,195
abpetroleum.com,12,12
abraauto.com,413,413
abrholdings.com,1,1
abt.com,1,1
abuelos.com,37,37
academybank.com,50,50
academy.com,254,254
acadiarealty.com,5,5
acandt.com,18,18
acapulcorestaurants.com,2,2
acburger.com,62,62
acceleratedrehab.com,157,157
accelnetwork.com,122,122
acceptanceinsurance.com,350,350
accuquest.net,151,151
accuridewheelendsolutions.com,4,4
acecashexpress.com,982,982
acehardware.com,4005,4005
acelero.net,48,48
aceparking.com,96,96
acerenttoown.com,22,22
acfp.com,67,67
acmemarkets.com,3822,275
acmestores.com,16,16
acmetools.com,10,10
acmoore.com,144,144
acornmarkets.com,17,17
actiondayprimaryplus.com,11,11
acura.com,272,272
acura.com,269,269
adagio.com,3,3
adamsdrugs.net,12,12
adamshometownmarkets.com,15,15
adeccousa.com,308,308
adidas.com,471,471
adidas.com,165,165
advanceamerica.net,1,1
advanceamerica.net,1780,1780
advanceautoparts.com,4351,4301
advancedbldg.com,8,8
advancedradiology.com,30,30
advantage.com,40,40
adventisthealthsystem.com,102,102
adventist.org,7508,7508
adventureisland.com,1,1
advocatehealth.com,940,940
ae.com,913,913
aeropostale.com,499,499
aerosportsparks.com,3,3
aerotek.com,215,215
afbasket.com,17,17
afcurgentcare.com,214,214
affordabledentalcare.com,10,10
affordabledentures.com,268,268
af-rentall.com,20,20
afstores.com,390,390
afw.com,14,14
agacistore.com,49,49
agbr.com,169,169
agentprovocateur.com,11,11
agents.allstate.com,11703,11703
agjeans.com,16,16
agland.coop,67,67
ag.org,12917,12917
agrisupply.com,8,8
agway.com,224,224
ahern.com,72,72
ahernrentals.com,68,68
aimmailcenters.com,47,47
aiowireless.com,50,50
aireserv.com,200,200
airgas.com,1267,1267
ajg.com,213,213
ajsfinefoods.com,11,11
akins.com,7,7
alafarm.com,61,61
alamo.com,259,259
alaskacommercial.com,24,24
albertsons.com,742,742
albertsonsmarket.com,28,28
aldifoods.com,1826,1826
aldi.us,1898,1898
aldoshoes.com,359,359
al-eds.com,14,14
alexandani.com,92,92
alfaromeousa.com,168,168
aliceandolivia.com,23,23
allbirds.com,5,5
allegramarketingprint.com,182,182
allegrocoffee.com,383,383
allenedmonds.com,499,74
allenoil.com,15,15
allianceenergy.com,652,652
allianceurgentcare.com,6,6
alliedbuilding.com,215,215
alliedcash.com,74,74
allieddental.com,1,1
allinahealth.org,379,143
allisontransmission.com,836,836
allpointnetwork.com,11129,11129
allsaints.com,68,68
alltuneandlube.com,1,1
almostfamily.com,413,413
alohagas.com,42,42
alohapokeco.com,16,16
alonbrands.com,670,309
alpenaoil.net,21,21
alphagraphics.com,240,240
alsbeef.com,8,8
alsformalwear.com,48,48
altaconvenience.com,109,109
altamere.com,14,14
altardstate.com,113,113
altierus.edu,3,3
altitudetrampolinepark.com,59,59
amatos.com,40,40
amazinglashstudio.com,231,231
amazon.com,39,39
amcareinc.com,10,10
amctheaters.com,636,636
